TS,m,sem,h,N,X,Tmax,Tmin,IntTem,Tmed,Vmax,Vmin,Intvel,Vmed,oil,Presion,Peso,Retraso,tempsuelo
40819,10,2,0,49,?,14.33,11.33,0.167,12.28,7.05,6.99,0.006,7.03,2.3,11.7,1024.3,0,66.7
40819.0416666667,10,2,1,50,?,17,10.5,0.239,13.72,7.06,7.02,0.003,7.04,1.6,11.4,1024.6,0,70.4
40819.0833333333,10,2,2,51,?,11.33,10.83,0.023,11.08,7.03,7.01,0.001,7.02,1,11,1025,0,74
40819.125,10,2,3,52,?,15.67,9.17,0.267,12.36,7.01,6.95,0.005,6.98,1.3,10.3,1025,0,74.7
40819.1666666667,10,2,4,53,?,15.33,10.67,0.19,13.17,6.98,6.9,0.008,6.95,1.6,9.6,1025,0,75.4
40819.2083333333,10,2,5,54,?,21.67,11.33,0.391,18.61,6.97,6.84,0.012,6.89,2,9,1025,0,76
40819.25,10,2,6,55,?,18.17,10.83,0.307,15.64,7,6.95,0.004,6.97,2,8.7,1025,0,77.3
40819.2916666667,10,2,7,56,?,22,14.33,0.247,17.64,6.97,6.88,0.007,6.92,2,8.4,1025,0,78.6
40819.3333333333,10,2,8,57,?,25,22.83,0.053,24.11,6.87,6.76,0.009,6.81,2,8,1025,0,80
40819.375,10,2,9,58,?,26.5,24.17,0.048,25.39,6.76,6.76,0.001,6.76,2,12,1025.3,0,66.7
40819.4166666667,10,2,10,59,?,25,23,0.048,24.17,6.8,6.75,0.006,6.76,2,16,1025.6,0,53.4
40819.4583333333,10,2,11,60,?,23.67,21,0.062,22.39,6.8,6.79,0.002,6.8,2,20,1026,0,40
40819.5,10,2,12,61,?,22,19.17,0.07,20.61,6.84,6.8,0.004,6.82,3,21.7,1026,0,36.7
40819.5416666667,10,2,13,62,?,17.5,16.83,0.021,17.19,6.83,6.82,0.002,6.83,4,23.4,1026,0,33.4
40819.5833333333,10,2,14,63,?,22.5,18,0.13,19.92,6.83,6.78,0.005,6.81,5,25,1026,0,30
40819.625,10,2,15,64,?,25.33,22.67,0.059,23.92,6.78,6.75,0.003,6.76,7.3,25,1025.3,0,30
40819.6666666667,10,2,16,65,?,22.67,18.17,0.128,20.83,6.83,6.77,0.005,6.81,9.6,25,1024.6,0,30
40819.7083333333,10,2,17,66,?,18.83,17.5,0.048,17.97,6.87,6.83,0.003,6.85,12,25,1024,0,30
40819.75,10,2,18,67,?,17.5,15.5,0.07,16.36,6.88,6.86,0.002,6.87,12,22.3,1024.3,0,37.7
40819.7916666667,10,2,19,68,?,15.33,14.5,0.032,14.97,6.9,6.86,0.004,6.88,12,19.6,1024.6,0,45.4
40819.8333333333,10,2,20,69,?,17.83,14.67,0.118,15.94,6.9,6.85,0.004,6.88,12,17,1025,0,53
40819.875,10,2,21,70,?,20,16,0.116,17.92,6.87,6.82,0.004,6.84,10.7,15.3,1025.7,0,60
40819.9166666667,10,2,22,71,?,19.5,16.5,0.1,18.33,6.87,6.83,0.003,6.84,9.4,13.6,1026.4,0,67
40819.9583333333,10,2,23,72,?,15.83,12,0.145,14.03,6.94,6.88,0.006,6.9,8,12,1027,0,74
40820,10,3,0,73,?,15.33,9.5,0.26,12.17,6.98,6.9,0.006,6.94,7.3,11.7,1027,0,74.3
40820.0416666667,10,3,1,74,?,8.67,6.67,0.164,7.44,7.01,6.97,0.003,6.99,6.6,11.4,1027,0,74.6
40820.0833333333,10,3,2,75,?,6.83,6,0.069,6.44,7.02,7.01,0.001,7.02,6,11,1027,0,75
40820.125,10,3,3,76,?,6.17,6,0.018,6.11,7.06,7.02,0.004,7.03,6,10.7,1027,0,74
40820.1666666667,10,3,4,77,?,6.17,5.33,0.094,5.89,7.08,7.04,0.004,7.07,6,10.4,1027,0,73
40820.2083333333,10,3,5,78,?,6.67,5.83,0.096,6.08,7.1,7.07,0.003,7.08,6,10,1027,0,72
40820.25,10,3,6,79,?,12.83,6.5,0.335,9.61,7.09,7.07,0.002,7.08,6,9.7,1027,0,71
40820.2916666667,10,3,7,80,?,23,12.17,0.312,17.53,7.07,6.9,0.012,6.98,6,9.4,1027,0,70
40820.3333333333,10,3,8,81,?,26,24,0.051,24.75,6.91,6.85,0.005,6.88,6,9,1027,0,69
40820.375,10,3,9,82,?,25.67,24,0.038,24.72,6.88,6.84,0.003,6.87,6.7,12,1027.3,0,58.7
40820.4166666667,10,3,10,83,?,26.5,23.83,0.055,25.22,6.87,6.83,0.003,6.85,7.4,15,1027.6,0,48.4
40820.4583333333,10,3,11,84,?,23.5,20.5,0.076,22.19,6.88,6.83,0.005,6.87,8,18,1028,0,38
40820.5,10,3,12,85,?,21,16.67,0.129,19.14,6.91,6.85,0.004,6.88,8.7,19.7,1027.7,0,35
40820.5416666667,10,3,13,86,?,17.67,16.5,0.039,17.17,6.88,6.83,0.005,6.85,9.4,21.4,1027.4,0,32
40820.5833333333,10,3,14,87,?,21.67,18.5,0.103,19.64,6.83,6.75,0.007,6.8,10,23,1027,0,29
40820.625,10,3,15,88,?,23.5,22.33,0.032,23.08,6.76,6.71,0.004,6.73,10.7,23.3,1026.3,0,29
40820.6666666667,10,3,16,89,?,22.67,17.67,0.132,20.03,6.82,6.73,0.007,6.77,11.4,23.6,1025.6,0,29
40820.7083333333,10,3,17,90,?,18,16.83,0.043,17.25,6.83,6.82,0.002,6.82,12,24,1025,0,29
40820.75,10,3,18,91,?,18,15.83,0.075,16.75,6.83,6.8,0.002,6.82,12,21.7,1025,0,37.7
40820.7916666667,10,3,19,92,?,16.33,14.33,0.067,15.31,6.85,6.81,0.004,6.83,12,19.4,1025,0,46.4
40820.8333333333,10,3,20,93,?,16.83,13.83,0.124,14.97,6.83,6.8,0.002,6.81,12,17,1025,0,55
40820.875,10,3,21,94,?,20.83,17,0.127,19.47,6.8,6.76,0.004,6.78,11,15.3,1025.7,0,63
40820.9166666667,10,3,22,95,?,19.5,15.83,0.127,18.14,6.83,6.77,0.005,6.8,10,13.6,1026.4,0,71
40820.9583333333,10,3,23,96,?,16,12.83,0.11,14.42,6.87,6.83,0.005,6.84,9,12,1027,0,79
40821,10,4,0,97,?,13.5,10.67,0.122,12.03,6.91,6.85,0.005,6.88,8.3,11.3,1026.7,0,80
40821.0416666667,10,4,1,98,?,16.17,9.5,0.275,13.11,6.95,6.89,0.006,6.91,7.6,10.6,1026.4,0,81
40821.0833333333,10,4,2,99,?,10.83,9.67,0.062,10.31,6.92,6.9,0.002,6.91,7,10,1026,0,82
40821.125,10,4,3,100,?,12.83,8.67,0.239,10.36,6.93,6.89,0.004,6.9,6.7,9.7,1026,0,81.3
40821.1666666667,10,4,4,101,?,14.67,8,0.326,11.86,6.93,6.88,0.004,6.9,6.4,9.4,1026,0,80.6
40821.2083333333,10,4,5,102,?,21.33,10.5,0.415,17.94,6.92,6.82,0.008,6.86,6,9,1026,0,80
40821.25,10,4,6,103,?,18.17,10.17,0.292,14.06,6.97,6.93,0.004,6.96,5.7,8.7,1026,0,80
40821.2916666667,10,4,7,104,?,22,13.5,0.29,17.06,6.95,6.85,0.009,6.89,5.4,8.4,1026,0,80
40821.3333333333,10,4,8,105,?,25.67,22.33,0.081,24.31,6.87,6.79,0.006,6.82,5,8,1026,0,80
40821.375,10,4,9,106,?,26.33,24.33,0.043,25.25,6.83,6.79,0.004,6.81,4.7,11.3,1026,0,68
40821.4166666667,10,4,10,107,?,25.83,22.83,0.062,24.33,6.83,6.78,0.004,6.81,4.4,14.6,1026,0,56
40821.4583333333,10,4,11,108,?,22.5,20.33,0.052,21.44,6.83,6.8,0.002,6.82,4,18,1026,0,44
40821.5,10,4,12,109,?,19.67,17.83,0.059,18.94,6.87,6.83,0.004,6.86,4.3,20,1025.7,0,39.3
40821.5416666667,10,4,13,110,?,22,16.5,0.168,18.83,6.88,6.86,0.002,6.87,4.6,22,1025.4,0,34.6
40821.5833333333,10,4,14,111,?,21.5,17.87,0.098,19.81,6.87,6.82,0.004,6.84,5,24,1025,0,30
40821.625,10,4,15,112,?,25.5,21.17,0.11,22.97,6.85,6.79,0.007,6.81,5.3,24.3,1024.3,0,30
40821.6666666667,10,4,16,113,?,22,18.17,0.103,19.94,6.89,6.81,0.006,6.85,5.6,24.6,1023.6,0,30
40821.7083333333,10,4,17,114,?,18.83,16.83,0.058,17.86,6.89,6.86,0.002,6.88,6,25,1023,0,30
40821.75,10,4,18,115,?,17.67,14.67,0.106,15.97,6.91,6.87,0.003,6.89,6.7,22.3,1023,0,38.3
40821.7916666667,10,4,19,116,?,16,14.5,0.056,15.36,6.9,6.88,0.001,6.89,7.4,19.6,1023,0,46.6
40821.8333333333,10,4,20,117,?,16.33,14.67,0.059,15.58,6.91,6.88,0.002,6.89,8,17,1023,0,55
40821.875,10,4,21,118,?,18.17,15,0.11,16.86,6.89,6.84,0.004,6.87,7,15.7,1023.3,0,61.3
40821.9166666667,10,4,22,119,?,18.67,15.33,0.113,17.28,6.91,6.85,0.005,6.87,6,14.4,1023.6,0,67.6
40821.9583333333,10,4,23,120,?,15.33,13.83,0.06,14.47,6.95,6.91,0.003,6.93,5,13,1024,0,74
40822,10,5,0,121,?,13,8.83,0.234,11.53,6.98,6.94,0.004,6.96,5,12.3,1024,0,78.3
40822.0416666667,10,5,1,122,?,8.17,6.17,0.144,7.14,7.03,6.99,0.003,7.01,5,11.6,1024,0,82.6
40822.0833333333,10,5,2,123,?,6.17,5.33,0.094,5.89,7.04,7.02,0.001,7.03,5,11,1024,0,87
40822.125,10,5,3,124,?,7.83,5.5,0.202,6.89,7.09,7.04,0.004,7.07,4.7,10.3,1024,0,87.3
40822.1666666667,10,5,4,125,?,7.67,5.17,0.308,5.86,7.11,7.08,0.003,7.09,4.4,9.6,1024,0,87.6
40822.2083333333,10,5,5,126,?,6.17,5.33,0.083,5.69,7.11,7.09,0.002,7.1,4,9,1024,0,88
40822.25,10,5,6,127,?,12.5,6.5,0.393,8.97,7.12,7.09,0.002,7.11,4.3,8.7,1024,0,87
40822.2916666667,10,5,7,128,?,23,12,0.364,16.86,7.09,6.93,0.012,7.01,4.6,8.4,1024,0,86
40822.3333333333,10,5,8,129,?,24.17,23.67,0.012,23.94,6.94,6.87,0.006,6.9,5,8,1024,0,85
40822.375,10,5,9,130,?,25.67,24.17,0.035,24.81,6.89,6.87,0.002,6.88,4.7,11.3,1024.3,0,71.3
40822.4166666667,10,5,10,131,?,26.33,22.83,0.106,23.81,6.89,6.87,0.002,6.89,4.4,14.6,1024.6,0,57.6
40822.4583333333,10,5,11,132,?,23.33,20.17,0.091,21.39,6.9,6.86,0.003,6.88,4,18,1025,0,44
40822.5,10,5,12,133,?,20.83,17.33,0.109,18.78,6.93,6.89,0.003,6.91,5,19.7,1024.3,0,38.7
40822.5416666667,10,5,13,134,?,17.83,16.67,0.035,17.22,6.94,6.93,0.002,6.93,6,21.4,1023.6,0,33.4
40822.5833333333,10,5,14,135,?,21.67,16.5,0.14,19.19,6.95,6.9,0.005,6.92,7,23,1023,0,28
40822.625,10,5,15,136,?,23.5,21.33,0.05,22.39,6.9,6.87,0.003,6.88,8.7,23,1022.7,0,30
40822.6666666667,10,5,16,137,?,22.67,18.5,0.115,20.33,6.98,6.89,0.007,6.94,10.4,23,1022.4,0,32
40822.7083333333,10,5,17,138,?,18.33,16.17,0.082,17.61,6.98,6.95,0.002,6.96,12,23,1022,0,34
40822.75,10,5,18,139,?,18.33,14.5,0.154,15.89,7.01,6.96,0.004,6.98,13,20.7,1022.3,0,47.3
40822.7916666667,10,5,19,140,?,15.67,14.17,0.074,14.58,7.03,6.97,0.005,7,14,18.4,1022.6,0,60.6
40822.8333333333,10,5,20,141,?,16.5,15.33,0.04,15.97,7,6.94,0.005,6.96,15,16,1023,0,74
40822.875,10,5,21,142,?,20.83,15.67,0.161,17.94,6.97,6.94,0.003,6.95,14,15,1023.7,0,80.7
40822.9166666667,10,5,22,143,?,19.67,15.5,0.125,17.72,6.99,6.94,0.004,6.97,13,14,1024.4,0,87.4
40822.9583333333,10,5,23,144,?,14.33,13.5,0.036,13.83,7.03,7.01,0.001,7.02,12,13,1025,0,94
40823,10,6,0,145,?,13.67,11.17,0.113,12.28,7.04,7,0.003,7.02,11,12.3,1025.3,0,94.7
40823.0416666667,10,6,1,146,?,16.83,10,0.264,13.58,7.04,7.03,0.001,7.04,10,11.6,1025.6,0,95.4
40823.0833333333,10,6,2,147,?,11.17,10.5,0.038,10.92,7.03,6.99,0.003,7.01,9,11,1026,0,96
40823.125,10,6,3,148,?,16,9,0.291,12.39,7.04,6.96,0.006,6.99,9.7,11,1026,0,96
40823.1666666667,10,6,4,149,?,15.5,10.67,0.192,13,6.99,6.93,0.005,6.96,10.4,11,1026,0,96
40823.2083333333,10,6,5,150,?,21.83,10.83,0.408,18.31,6.97,6.86,0.011,6.89,11,11,1026,0,96
40823.25,10,6,6,151,?,18.17,11.33,0.292,16,7.01,6.96,0.004,6.99,11.3,10.7,1026.3,0,95.7
40823.2916666667,10,6,7,152,?,21,13.67,0.245,16.86,7.01,6.9,0.008,6.95,11.6,10.4,1026.6,0,95.4
40823.3333333333,10,6,8,153,?,25.67,21.5,0.1,23.33,6.91,6.83,0.006,6.87,12,10,1027,0,95
40823.375,10,6,9,154,?,25.83,23.33,0.055,24.69,6.87,6.84,0.002,6.86,14,10.7,1027,0,87.7
40823.4166666667,10,6,10,155,?,25.33,21.83,0.091,24.03,6.87,6.83,0.004,6.84,16,11.4,1027,0,80.4
40823.4583333333,10,6,11,156,?,22.83,20.5,0.068,22,6.9,6.85,0.003,6.87,18,12,1027,0.1,73
40823.5,10,6,12,157,?,22.33,16.83,0.167,19.14,6.91,6.88,0.002,6.89,19,12.7,1027,0.1,67.7
40823.5416666667,10,6,13,158,?,17,16.17,0.027,16.61,6.92,6.86,0.005,6.89,20,13.4,1027,0.1,62.4
40823.5833333333,10,6,14,159,?,21.33,17,0.131,18.86,6.91,6.86,0.005,6.89,21,14,1027,0.1,57
40823.625,10,6,15,160,?,24.67,21.83,0.074,22.97,6.83,6.81,0.002,6.82,21.3,14,1027,0.1,57.3
40823.6666666667,10,6,16,161,?,23.17,18.17,0.142,21.17,6.89,6.83,0.005,6.87,21.6,14,1027,0.1,57.6
40823.7083333333,10,6,17,162,?,19.5,17.67,0.052,18.64,6.9,6.88,0.001,6.89,22,14,1027,0.1,58
40823.75,10,6,18,163,?,17.33,15.67,0.056,16.42,6.91,6.89,0.003,6.91,19.3,12.7,1027.3,0.1,64.7
40823.7916666667,10,6,19,164,?,16.33,14.5,0.061,15.39,6.96,6.91,0.004,6.94,16.6,11.4,1027.6,0.1,71.4
40823.8333333333,10,6,20,165,?,16.67,14.83,0.075,15.5,6.94,6.91,0.003,6.92,14,10,1028,0,78
40823.875,10,6,21,166,?,17,15.17,0.065,16.22,6.94,6.88,0.005,6.92,13.3,9.3,1028.7,0,82.3
40823.9166666667,10,6,22,167,?,16.17,15.17,0.034,15.69,6.94,6.9,0.003,6.92,12.6,8.6,1029.4,0,86.6
40823.9583333333,10,6,23,168,?,14.5,12.5,0.078,13.56,6.98,6.95,0.003,6.97,12,8,1030,0,91
40824,10,7,0,169,?,13.67,10.33,0.145,12.08,7.01,6.97,0.003,6.99,11,8,1029.3,0,91.3
40824.0416666667,10,7,1,170,?,9.83,7.17,0.16,8.53,7.05,7.02,0.003,7.03,10,8,1028.6,0,91.6
40824.0833333333,10,7,2,171,?,7.83,6.5,0.106,7.08,7.09,7.01,0.006,7.05,9,8,1028,0.1,92
40824.125,10,7,3,172,?,9,6.33,0.183,7.75,7.12,7.07,0.005,7.09,10,8.3,1028,0.1,91.3
40824.1666666667,10,7,4,173,?,8,5.67,0.241,6.44,7.12,7.09,0.002,7.11,11,8.6,1028,0.1,90.6
40824.2083333333,10,7,5,174,?,6,5.67,0.033,5.81,7.12,7.1,0.002,7.12,12,9,1028,0.1,90
40824.25,10,7,6,175,?,7.17,5.67,0.136,6.56,7.15,7.12,0.003,7.13,12,8.3,1028.3,0.1,92
40824.2916666667,10,7,7,176,?,9.83,7.33,0.148,8.61,7.15,7.1,0.003,7.12,12,7.6,1028.6,0.1,94
40824.3333333333,10,7,8,177,?,16.67,9.83,0.261,13.31,7.12,7.05,0.005,7.09,12,7,1029,0.1,96
40824.375,10,7,9,178,?,24.33,18.83,0.162,22.47,7.03,6.93,0.007,6.98,15.3,8.3,1029,0.1,88.3
40824.4166666667,10,7,10,179,?,27.5,25.5,0.047,26.75,6.95,6.89,0.007,6.91,18.6,9.6,1029,0.1,80.6
40824.4583333333,10,7,11,180,?,26.67,24.17,0.051,25.36,6.91,6.86,0.004,6.89,22,11,1029,0.1,73
40824.5,10,7,12,181,?,24.83,21,0.102,22.53,6.94,6.9,0.004,6.92,22.3,12,1028.7,0.1,67.7
40824.5416666667,10,7,13,182,?,20.67,18.83,0.054,19.61,6.97,6.93,0.003,6.95,22.6,13,1028.4,0.1,62.4
40824.5833333333,10,7,14,183,?,19.67,16.33,0.098,18.11,6.97,6.94,0.002,6.96,23,14,1028,0.1,57
40824.625,10,7,15,184,?,20.83,18.67,0.064,19.58,6.97,6.94,0.002,6.95,23,14,1027.3,0.1,57
40824.6666666667,10,7,16,185,?,21.17,16,0.147,18.75,7.01,6.9,0.009,6.96,23,14,1026.6,0.1,57
40824.7083333333,10,7,17,186,?,16.67,15.33,0.043,16.03,7.01,6.96,0.004,6.98,23,14,1026,0,57
40824.75,10,7,18,187,?,16.83,15.33,0.048,16.06,7.01,6.97,0.004,6.99,20.3,12.3,1026.3,0,65.3
40824.7916666667,10,7,19,188,?,15.5,14.5,0.043,14.86,7.03,7,0.002,7.01,17.6,10.6,1026.6,0,73.6
40824.8333333333,10,7,20,189,?,15.17,13.5,0.062,14.39,7.04,7.01,0.003,7.02,15,9,1027,0,82
40824.875,10,7,21,190,?,16.5,13.67,0.099,15.17,7.01,6.98,0.003,7,14,8.3,1027.7,0,86.7
40824.9166666667,10,7,22,191,?,15.5,14.83,0.024,15.19,7.01,6.99,0.002,7.01,13,7.6,1028.4,0,91.4
40824.9583333333,10,7,23,192,?,14,12.17,0.075,13.03,7.05,7.02,0.003,7.04,12,7,1029,0,96
40825,10,1,0,193,?,13.33,10.5,0.135,12.14,7.09,7.04,0.004,7.06,12,7,1029,0,96.3
40825.0416666667,10,1,1,194,?,10.67,8.5,0.133,9.42,7.1,7.09,0.001,7.09,12,7,1029,0,96.6
40825.0833333333,10,1,2,195,?,8,7.33,0.043,7.67,7.12,7.1,0.001,7.11,12,7,1029,0,97
40825.125,10,1,3,196,?,9,7.17,0.122,8.17,7.15,7.12,0.002,7.13,12,7.3,1028.7,0,95.7
40825.1666666667,10,1,4,197,?,8.67,6.17,0.279,6.78,7.16,7.14,0.002,7.15,12,7.6,1028.4,0,94.4
40825.2083333333,10,1,5,198,?,6.67,5.83,0.071,6.22,7.16,7.16,0.001,7.16,12,8,1028,0.1,93
40825.25,10,1,6,199,?,6.83,6.17,0.084,6.31,7.16,7.15,0.001,7.16,11.7,8,1028,0.1,93.7
40825.2916666667,10,1,7,200,?,8.33,6.67,0.121,7.58,7.16,7.16,0.001,7.16,11.4,8,1028,0.1,94.4
40825.3333333333,10,1,8,201,?,12.67,8.5,0.203,10.67,7.16,7.11,0.003,7.13,11,8,1028,0,95
40825.375,10,1,9,202,?,21.5,14.5,0.217,17.67,7.11,7.03,0.006,7.07,12.3,9.3,1028,0,88.7
40825.4166666667,10,1,10,203,?,27.33,22.17,0.111,24.94,7.02,6.95,0.007,6.98,13.6,10.6,1028,0,82.4
40825.4583333333,10,1,11,204,?,26.83,25.5,0.028,26.22,6.96,6.91,0.004,6.94,15,12,1028,0,76
40825.5,10,1,12,205,?,23.67,21,0.069,22.56,6.99,6.91,0.007,6.96,16.3,13.3,1027.7,0,70.7
40825.5416666667,10,1,13,206,?,22,18.17,0.12,19.64,7.02,6.97,0.004,6.99,17.6,14.6,1027.4,0,65.4
40825.5833333333,10,1,14,207,?,19.17,17.5,0.05,18.25,7.02,6.99,0.003,7,19,16,1027,0.1,60
40825.625,10,1,15,208,?,19.83,17.17,0.079,18.39,7.04,7.01,0.002,7.02,18.3,16.3,1026.7,0.1,59
40825.6666666667,10,1,16,209,?,18.67,14.83,0.147,17.39,7.07,7.01,0.005,7.04,17.6,16.6,1026.4,0.1,58
40825.7083333333,10,1,17,210,?,15.17,14.17,0.036,14.69,7.09,7.04,0.004,7.06,17,17,1026,0,57
40825.75,10,1,18,211,?,16.17,13,0.121,14.42,7.08,7.06,0.001,7.07,15.3,15.3,1026,0,65
40825.7916666667,10,1,19,212,?,15.5,13.5,0.079,14.36,7.09,7.07,0.001,7.08,13.6,13.6,1026,0,73
40825.8333333333,10,1,20,213,?,18.33,14,0.154,16.56,7.05,7.01,0.003,7.03,12,12,1026,0,81
40825.875,10,1,21,214,?,18.83,16,0.093,17.64,7.02,7.01,0.001,7.01,11,11,1026.7,0,85
40825.9166666667,10,1,22,215,?,17.5,16,0.051,16.86,7.05,7.01,0.003,7.03,10,10,1027.4,0,89
40825.9583333333,10,1,23,216,?,14.83,12.17,0.106,13.61,7.09,7.05,0.003,7.08,9,9,1028,0,93
40826,10,2,0,217,?,12.83,10.67,0.094,11.78,7.12,7.09,0.002,7.1,8.7,8.3,1028,0,93.7
40826.0416666667,10,2,1,218,?,16.33,9.17,0.312,13.33,7.1,7.09,0.001,7.09,8.4,7.6,1028,0,94.4
40826.0833333333,10,2,2,219,?,11.5,9.83,0.081,10.69,7.09,7.06,0.003,7.08,8,7,1028,0,95
40826.125,10,2,3,220,?,15.67,8.83,0.309,11.97,7.09,7.01,0.006,7.04,7.3,7,1028,0,95
40826.1666666667,10,2,4,221,?,15.17,10.33,0.19,12.75,7.05,6.98,0.006,7.02,6.6,7,1028,0,95
40826.2083333333,10,2,5,222,?,21.33,10.17,0.431,17.86,7.03,6.9,0.012,6.95,6,7,1028,0,95
